P1A	P2A	P1B	P2B	Jaccard
P19784	Q96ST3	P19784	P04156	0.416666666667
P19784	Q96ST3	P19784	P04424	0.36
P19784	Q96ST3	P19784	P05412	0.176470588235
P19784	Q96ST3	P19784	P07237	0.4
P19784	Q96ST3	P19784	P07327	0.45
P19784	Q96ST3	P19784	P09497	0.166666666667
P19784	Q96ST3	P19784	P11387	0.4
P19784	Q96ST3	P19784	P11388	0.416666666667
P19784	Q96ST3	P19784	P14598	0.111111111111
P19784	Q96ST3	P19784	P15336	0.166666666667
P19784	Q96ST3	P19784	P16403	0.833333333333
P19784	Q96ST3	P19784	P16455	0.47619047619
P19784	Q96ST3	P19784	P17096	0.24
P19784	Q96ST3	P19784	P17931	0.346153846154
P19784	Q96ST3	P19784	P18031	0.428571428571
P19784	Q96ST3	P19784	P18846	0.222222222222
P19784	Q96ST3	P19784	P19338	0.277777777778
P19784	Q9BS34	P19784	Q9BS34	1.0
P19784	Q9BS34	P19784	Q9C0J9	0.0625
P19784	Q9BS34	P19784	Q9H063	0.4
P19784	Q9BS34	P19784	Q9HCE7	0.478260869565
P19784	Q9BS34	P19784	Q9P2X7	0.833333333333
P19784	Q9BS34	P19784	Q9P2Y4	1.0
P19784	Q9BS34	P19784	Q9UBN7	0.833333333333
P19784	Q9BS34	P19784	Q9UNH7	0.1875
P19784	Q9BS34	P19784	Q9Y6N6	1.0
P19784	Q9BS34	P19784	V9HWG3	0.478260869565
P19784	Q9BS34	P19784	B4DEE8	0.5
P19784	Q9BS34	P19784	O00267	0.833333333333
P19784	Q9BS34	P19784	O14503	0.0625
P19784	Q9BS34	P19784	O60282	0.833333333333
P19784	Q9BS34	P19784	O60341	0.421052631579
P19784	Q9BS34	P19784	O95477	0.833333333333
P19784	Q9BS34	P19784	P01100	0.235294117647
P19784	Q9BS34	P19784	P04156	0.434782608696
P19784	Q9BS34	P19784	P04424	0.434782608696
P19784	Q9BS34	P19784	P05412	0.1875
P19784	Q9BS34	P19784	P07237	0.478260869565
P19784	Q9BS34	P19784	P07327	0.473684210526
P19784	Q9BS34	P19784	P09497	0.176470588235
P19784	Q9BS34	P19784	P11387	0.421052631579
P19784	Q9BS34	P19784	P11388	0.434782608696
P19784	Q9BS34	P19784	P14598	0.117647058824
P19784	Q9BS34	P19784	P15336	0.176470588235
P19784	Q9BS34	P19784	P16403	1.0
P19784	Q9BS34	P19784	P16455	0.5
P19784	Q9BS34	P19784	P17096	0.2
P19784	Q9BS34	P19784	P17931	0.416666666667
P19784	Q9BS34	P19784	P18031	0.45
P19784	Q9BS34	P19784	P18846	0.235294117647
P19784	Q9BS34	P19784	P19338	0.294117647059
P19784	Q9C0J9	P19784	Q9C0J9	1.0
P19784	Q9C0J9	P19784	Q9H063	0.0833333333333
P19784	Q9C0J9	P19784	Q9HCE7	0.0555555555556
P19784	Q9C0J9	P19784	Q9P2X7	0.0588235294118
P19784	Q9C0J9	P19784	Q9P2Y4	0.0625
P19784	Q9C0J9	P19784	Q9UBN7	0.0588235294118
P19784	Q9C0J9	P19784	Q9UNH7	0.333333333333
P19784	Q9C0J9	P19784	Q9Y6N6	0.0625
P19784	Q9C0J9	P19784	V9HWG3	0.0555555555556
P19784	Q9C0J9	P19784	B4DEE8	0.0714285714286
P19784	Q9C0J9	P19784	O00267	0.0588235294118
P19784	Q9C0J9	P19784	O14503	1.0
P19784	Q9C0J9	P19784	O60282	0.0588235294118
P19784	Q9C0J9	P19784	O60341	0.0909090909091
P19784	Q9C0J9	P19784	O95477	0.0588235294118
P19784	Q9C0J9	P19784	P01100	0.2
P19784	Q9C0J9	P19784	P04156	0.0588235294118
P19784	Q9C0J9	P19784	P04424	0.0588235294118
P19784	Q9C0J9	P19784	P05412	0.333333333333
P19784	Q9C0J9	P19784	P07237	0.0555555555556
P19784	Q9C0J9	P19784	P07327	0.0833333333333
P19784	Q9C0J9	P19784	P09497	0.25
P19784	Q9C0J9	P19784	P11387	0.0909090909091
P19784	Q9C0J9	P19784	P11388	0.0588235294118
P19784	Q9C0J9	P19784	P14598	0.0
P19784	Q9C0J9	P19784	P15336	0.25
P19784	Q9C0J9	P19784	P16403	0.0625
P19784	Q9C0J9	P19784	P16455	0.0714285714286
P19784	Q9C0J9	P19784	P17096	0.0714285714286
P19784	Q9C0J9	P19784	P17931	0.0555555555556
P19784	Q9C0J9	P19784	P18031	0.0769230769231
P19784	Q9C0J9	P19784	P18846	0.2
P19784	Q9C0J9	P19784	P19338	0.166666666667
P19784	Q9H063	P19784	Q9H063	1.0
P19784	Q9H063	P19784	Q9HCE7	0.428571428571
P19784	Q9H063	P19784	Q9P2X7	0.380952380952
P19784	Q9H063	P19784	Q9P2Y4	0.4
P19784	Q9H063	P19784	Q9UBN7	0.380952380952
P19784	Q9H063	P19784	Q9UNH7	0.25
P19784	Q9H063	P19784	Q9Y6N6	0.4
P19784	Q9H063	P19784	V9HWG3	0.428571428571
P19784	Q9H063	P19784	B4DEE8	0.625
P19784	Q9H063	P19784	O00267	0.380952380952
P19784	Q9H063	P19784	O14503	0.0833333333333
P19784	Q9H063	P19784	O60282	0.380952380952
P19784	Q9H063	P19784	O60341	0.642857142857
P19784	Q9H063	P19784	O95477	0.380952380952
P19784	Q9H063	P19784	P01100	0.416666666667
P19784	Q9H063	P19784	P04156	0.45
P19784	Q9H063	P19784	P04424	0.45
P19784	Q9H063	P19784	P05412	0.25
P19784	Q9H063	P19784	P07237	0.428571428571
P19784	Q9H063	P19784	P07327	0.5
P19784	Q9H063	P19784	P09497	0.333333333333
P19784	Q9H063	P19784	P11387	0.769230769231
P19784	Q9H063	P19784	P11388	0.45
P19784	Q9H063	P19784	P14598	0.25
P19784	Q9H063	P19784	P15336	0.333333333333
P19784	Q9H063	P19784	P16403	0.4
P19784	Q9H063	P19784	P16455	0.625
P19784	Q9H063	P19784	P17096	0.368421052632
P19784	Q9H063	P19784	P17931	0.363636363636
P19784	Q9H063	P19784	P18031	0.785714285714
P19784	Q9H063	P19784	P18846	0.416666666667
P19784	Q9H063	P19784	P19338	0.384615384615
P19784	Q9HCE7	P19784	Q9HCE7	1.0
P19784	Q9HCE7	P19784	Q9P2X7	0.4
P19784	Q9HCE7	P19784	Q9P2Y4	0.478260869565
P19784	Q9HCE7	P19784	Q9UBN7	0.4
P19784	Q9HCE7	P19784	Q9UNH7	0.166666666667
P19784	Q9HCE7	P19784	Q9Y6N6	0.478260869565
P19784	Q9HCE7	P19784	V9HWG3	1.0
P19784	Q9HCE7	P19784	B4DEE8	0.454545454545
P19784	Q9HCE7	P19784	O00267	0.4
P19784	Q9HCE7	P19784	O14503	0.0555555555556
P19784	Q9HCE7	P19784	O60282	0.4
P19784	Q9HCE7	P19784	O60341	0.45
P19784	Q9HCE7	P19784	O95477	0.4
P19784	Q9HCE7	P19784	P01100	0.277777777778
P19784	Q9HCE7	P19784	P04156	0.944444444444
P19784	Q9HCE7	P19784	P04424	0.458333333333
P19784	Q9HCE7	P19784	P05412	0.166666666667
P19784	Q9HCE7	P19784	P07237	1.0
P19784	Q9HCE7	P19784	P07327	0.5
P19784	Q9HCE7	P19784	P09497	0.222222222222
P19784	Q9HCE7	P19784	P11387	0.45
P19784	Q9HCE7	P19784	P11388	0.944444444444
P19784	Q9HCE7	P19784	P14598	0.166666666667
P19784	Q9HCE7	P19784	P15336	0.222222222222
P19784	Q9HCE7	P19784	P16403	0.478260869565
P19784	Q9HCE7	P19784	P16455	0.454545454545
P19784	Q9HCE7	P19784	P17096	0.28
P19784	Q9HCE7	P19784	P17931	0.5
P19784	Q9HCE7	P19784	P18031	0.47619047619
P19784	Q9HCE7	P19784	P18846	0.277777777778
P19784	Q9HCE7	P19784	P19338	0.333333333333
P19784	Q9P2X7	P19784	Q9P2X7	1.0
P19784	Q9P2X7	P19784	Q9P2Y4	0.833333333333
P19784	Q9P2X7	P19784	Q9UBN7	1.0
P19784	Q9P2X7	P19784	Q9UNH7	0.176470588235
P19784	Q9P2X7	P19784	Q9Y6N6	0.833333333333
P19784	Q9P2X7	P19784	V9HWG3	0.4
P19784	Q9P2X7	P19784	B4DEE8	0.47619047619
P19784	Q9P2X7	P19784	O00267	1.0
P19784	Q9P2X7	P19784	O14503	0.0588235294118
P19784	Q9P2X7	P19784	O60282	1.0
P19784	Q9P2X7	P19784	O60341	0.4
P19784	Q9P2X7	P19784	O95477	1.0
P19784	Q9P2X7	P19784	P01100	0.222222222222
P19784	Q9P2X7	P19784	P04156	0.416666666667
P19784	Q9P2X7	P19784	P04424	0.36
P19784	Q9P2X7	P19784	P05412	0.176470588235
P19784	Q9P2X7	P19784	P07237	0.4
P19784	Q9P2X7	P19784	P07327	0.45
P19784	Q9P2X7	P19784	P09497	0.166666666667
P19784	Q9P2X7	P19784	P11387	0.4
P19784	Q9P2X7	P19784	P11388	0.416666666667
P19784	Q9P2X7	P19784	P14598	0.111111111111
P19784	Q9P2X7	P19784	P15336	0.166666666667
P19784	Q9P2X7	P19784	P16403	0.833333333333
P19784	Q9P2X7	P19784	P16455	0.47619047619
P19784	Q9P2X7	P19784	P17096	0.24
P19784	Q9P2X7	P19784	P17931	0.346153846154
P19784	Q9P2X7	P19784	P18031	0.428571428571
P19784	Q9P2X7	P19784	P18846	0.222222222222
P19784	Q9P2X7	P19784	P19338	0.277777777778
P19784	Q9P2Y4	P19784	Q9P2Y4	1.0
P19784	Q9P2Y4	P19784	Q9UBN7	0.833333333333
P19784	Q9P2Y4	P19784	Q9UNH7	0.1875
P19784	Q9P2Y4	P19784	Q9Y6N6	1.0
P19784	Q9P2Y4	P19784	V9HWG3	0.478260869565
P19784	Q9P2Y4	P19784	B4DEE8	0.5
P19784	Q9P2Y4	P19784	O00267	0.833333333333
P19784	Q9P2Y4	P19784	O14503	0.0625
P19784	Q9P2Y4	P19784	O60282	0.833333333333
P19784	Q9P2Y4	P19784	O60341	0.421052631579
P19784	Q9P2Y4	P19784	O95477	0.833333333333
P19784	Q9P2Y4	P19784	P01100	0.235294117647
P19784	Q9P2Y4	P19784	P04156	0.434782608696
P19784	Q9P2Y4	P19784	P04424	0.434782608696
P19784	Q9P2Y4	P19784	P05412	0.1875
P19784	Q9P2Y4	P19784	P07237	0.478260869565
P19784	Q9P2Y4	P19784	P07327	0.473684210526
P19784	Q9P2Y4	P19784	P09497	0.176470588235
P19784	Q9P2Y4	P19784	P11387	0.421052631579
P19784	Q9P2Y4	P19784	P11388	0.434782608696
P19784	Q9P2Y4	P19784	P14598	0.117647058824
P19784	Q9P2Y4	P19784	P15336	0.176470588235
P19784	Q9P2Y4	P19784	P16403	1.0
P19784	Q9P2Y4	P19784	P16455	0.5
P19784	Q9P2Y4	P19784	P17096	0.2
P19784	Q9P2Y4	P19784	P17931	0.416666666667
P19784	Q9P2Y4	P19784	P18031	0.45
P19784	Q9P2Y4	P19784	P18846	0.235294117647
P19784	Q9P2Y4	P19784	P19338	0.294117647059
P19784	Q9UBN7	P19784	Q9UBN7	1.0
P19784	Q9UBN7	P19784	Q9UNH7	0.176470588235
P19784	Q9UBN7	P19784	Q9Y6N6	0.833333333333
P19784	Q9UBN7	P19784	V9HWG3	0.4
P19784	Q9UBN7	P19784	B4DEE8	0.47619047619
P19784	Q9UBN7	P19784	O00267	1.0
P19784	Q9UBN7	P19784	O14503	0.0588235294118
P19784	Q9UBN7	P19784	O60282	1.0
P19784	Q9UBN7	P19784	O60341	0.4
P19784	Q9UBN7	P19784	O95477	1.0
P19784	Q9UBN7	P19784	P01100	0.222222222222
P19784	Q9UBN7	P19784	P04156	0.416666666667
P19784	Q9UBN7	P19784	P04424	0.36
P19784	Q9UBN7	P19784	P05412	0.176470588235
P19784	Q9UBN7	P19784	P07237	0.4
P19784	Q9UBN7	P19784	P07327	0.45
P19784	Q9UBN7	P19784	P09497	0.166666666667
P19784	Q9UBN7	P19784	P11387	0.4
P19784	Q9UBN7	P19784	P11388	0.416666666667
P19784	Q9UBN7	P19784	P14598	0.111111111111
P19784	Q9UBN7	P19784	P15336	0.166666666667
P19784	Q9UBN7	P19784	P16403	0.833333333333
P19784	Q9UBN7	P19784	P16455	0.47619047619
P19784	Q9UBN7	P19784	P17096	0.24
P19784	Q9UBN7	P19784	P17931	0.346153846154
P19784	Q9UBN7	P19784	P18031	0.428571428571
P19784	Q9UBN7	P19784	P18846	0.222222222222
P19784	Q9UBN7	P19784	P19338	0.277777777778
P19784	Q9UNH7	P19784	Q9UNH7	1.0
P19784	Q9UNH7	P19784	Q9Y6N6	0.1875
P19784	Q9UNH7	P19784	V9HWG3	0.166666666667
P19784	Q9UNH7	P19784	B4DEE8	0.214285714286
P19784	Q9UNH7	P19784	O00267	0.176470588235
P19784	Q9UNH7	P19784	O14503	0.333333333333
P19784	Q9UNH7	P19784	O60282	0.176470588235
P19784	Q9UNH7	P19784	O60341	0.272727272727
P19784	Q9UNH7	P19784	O95477	0.176470588235
P19784	Q9UNH7	P19784	P01100	0.6
P19784	Q9UNH7	P19784	P04156	0.176470588235
P19784	Q9UNH7	P19784	P04424	0.111111111111
P19784	Q9UNH7	P19784	P05412	1.0
P19784	Q9UNH7	P19784	P07237	0.166666666667
P19784	Q9UNH7	P19784	P07327	0.25
P19784	Q9UNH7	P19784	P09497	0.75
P19784	Q9UNH7	P19784	P11387	0.272727272727
P19784	Q9UNH7	P19784	P11388	0.176470588235
P19784	Q9UNH7	P19784	P14598	0.5
P19784	Q9UNH7	P19784	P15336	0.75
P19784	Q9UNH7	P19784	P16403	0.1875
P19784	Q9UNH7	P19784	P16455	0.214285714286
P19784	Q9UNH7	P19784	P17096	0.133333333333
P19784	Q9UNH7	P19784	P17931	0.166666666667
P19784	Q9UNH7	P19784	P18031	0.230769230769
P19784	Q9UNH7	P19784	P18846	0.6
P19784	Q9UNH7	P19784	P19338	0.285714285714
P19784	Q9Y6N6	P19784	Q9Y6N6	1.0
P19784	Q9Y6N6	P19784	V9HWG3	0.478260869565
P19784	Q9Y6N6	P19784	B4DEE8	0.5
P19784	Q9Y6N6	P19784	O00267	0.833333333333
P19784	Q9Y6N6	P19784	O14503	0.0625
P19784	Q9Y6N6	P19784	O60282	0.833333333333
P19784	Q9Y6N6	P19784	O60341	0.421052631579
P19784	Q9Y6N6	P19784	O95477	0.833333333333
P19784	Q9Y6N6	P19784	P01100	0.235294117647
P19784	Q9Y6N6	P19784	P04156	0.434782608696
P19784	Q9Y6N6	P19784	P04424	0.434782608696
P19784	Q9Y6N6	P19784	P05412	0.1875
P19784	Q9Y6N6	P19784	P07237	0.478260869565
P19784	Q9Y6N6	P19784	P07327	0.473684210526
P19784	Q9Y6N6	P19784	P09497	0.176470588235
P19784	Q9Y6N6	P19784	P11387	0.421052631579
P19784	Q9Y6N6	P19784	P11388	0.434782608696
P19784	Q9Y6N6	P19784	P14598	0.117647058824
P19784	Q9Y6N6	P19784	P15336	0.176470588235
P19784	Q9Y6N6	P19784	P16403	1.0
P19784	Q9Y6N6	P19784	P16455	0.5
P19784	Q9Y6N6	P19784	P17096	0.2
P19784	Q9Y6N6	P19784	P17931	0.416666666667
P19784	Q9Y6N6	P19784	P18031	0.45
P19784	Q9Y6N6	P19784	P18846	0.235294117647
P19784	Q9Y6N6	P19784	P19338	0.294117647059
P19784	V9HWG3	P19784	V9HWG3	1.0
P19784	V9HWG3	P19784	B4DEE8	0.454545454545
P19784	V9HWG3	P19784	O00267	0.4
P19784	V9HWG3	P19784	O14503	0.0555555555556
P19784	V9HWG3	P19784	O60282	0.4
P19784	V9HWG3	P19784	O60341	0.45
P19784	V9HWG3	P19784	O95477	0.4
P19784	V9HWG3	P19784	P01100	0.277777777778
P19784	V9HWG3	P19784	P04156	0.944444444444
P19784	V9HWG3	P19784	P04424	0.458333333333
P19784	V9HWG3	P19784	P05412	0.166666666667
P19784	V9HWG3	P19784	P07237	1.0
P19784	V9HWG3	P19784	P07327	0.5
P19784	V9HWG3	P19784	P09497	0.222222222222
P19784	V9HWG3	P19784	P11387	0.45
P19784	V9HWG3	P19784	P11388	0.944444444444
P19784	V9HWG3	P19784	P14598	0.166666666667
P19784	V9HWG3	P19784	P15336	0.222222222222
P19784	V9HWG3	P19784	P16403	0.478260869565
P19784	V9HWG3	P19784	P16455	0.454545454545
P19784	V9HWG3	P19784	P17096	0.28
P19784	V9HWG3	P19784	P17931	0.5
P19784	V9HWG3	P19784	P18031	0.47619047619
P19784	V9HWG3	P19784	P18846	0.277777777778
P19784	V9HWG3	P19784	P19338	0.333333333333
P19784	B4DEE8	P19784	B4DEE8	1.0
P19784	B4DEE8	P19784	O00267	0.47619047619
P19784	B4DEE8	P19784	O14503	0.0714285714286
P19784	B4DEE8	P19784	O60282	0.47619047619
P19784	B4DEE8	P19784	O60341	0.785714285714
P19784	B4DEE8	P19784	O95477	0.47619047619
P19784	B4DEE8	P19784	P01100	0.357142857143
P19784	B4DEE8	P19784	P04156	0.47619047619
P19784	B4DEE8	P19784	P04424	0.631578947368
P19784	B4DEE8	P19784	P05412	0.214285714286
P19784	B4DEE8	P19784	P07237	0.454545454545
P19784	B4DEE8	P19784	P07327	0.857142857143
P19784	B4DEE8	P19784	P09497	0.285714285714
P19784	B4DEE8	P19784	P11387	0.785714285714
P19784	B4DEE8	P19784	P11388	0.47619047619
P19784	B4DEE8	P19784	P14598	0.214285714286
P19784	B4DEE8	P19784	P15336	0.285714285714
P19784	B4DEE8	P19784	P16403	0.5
P19784	B4DEE8	P19784	P16455	1.0
P19784	B4DEE8	P19784	P17096	0.4
P19784	B4DEE8	P19784	P17931	0.6
P19784	B4DEE8	P19784	P18031	0.6875
P19784	B4DEE8	P19784	P18846	0.357142857143
P19784	B4DEE8	P19784	P19338	0.428571428571
P19784	O00267	P19784	O00267	1.0
P19784	O00267	P19784	O14503	0.0588235294118
P19784	O00267	P19784	O60282	1.0
P19784	O00267	P19784	O60341	0.4
P19784	O00267	P19784	O95477	1.0
P19784	O00267	P19784	P01100	0.222222222222
P19784	O00267	P19784	P04156	0.416666666667
P19784	O00267	P19784	P04424	0.36
P19784	O00267	P19784	P05412	0.176470588235
P19784	O00267	P19784	P07237	0.4
P19784	O00267	P19784	P07327	0.45
P19784	O00267	P19784	P09497	0.166666666667
P19784	O00267	P19784	P11387	0.4
P19784	O00267	P19784	P11388	0.416666666667
P19784	O00267	P19784	P14598	0.111111111111
P19784	O00267	P19784	P15336	0.166666666667
P19784	O00267	P19784	P16403	0.833333333333
P19784	O00267	P19784	P16455	0.47619047619
P19784	O00267	P19784	P17096	0.24
P19784	O00267	P19784	P17931	0.346153846154
P19784	O00267	P19784	P18031	0.428571428571
P19784	O00267	P19784	P18846	0.222222222222
P19784	O00267	P19784	P19338	0.277777777778
P19784	O14503	P19784	O14503	1.0
P19784	O14503	P19784	O60282	0.0588235294118
P19784	O14503	P19784	O60341	0.0909090909091
P19784	O14503	P19784	O95477	0.0588235294118
P19784	O14503	P19784	P01100	0.2
P19784	O14503	P19784	P04156	0.0588235294118
P19784	O14503	P19784	P04424	0.0588235294118
P19784	O14503	P19784	P05412	0.333333333333
P19784	O14503	P19784	P07237	0.0555555555556
P19784	O14503	P19784	P07327	0.0833333333333
P19784	O14503	P19784	P09497	0.25
P19784	O14503	P19784	P11387	0.0909090909091
P19784	O14503	P19784	P11388	0.0588235294118
P19784	O14503	P19784	P14598	0.0
P19784	O14503	P19784	P15336	0.25
P19784	O14503	P19784	P16403	0.0625
P19784	O14503	P19784	P16455	0.0714285714286
P19784	O14503	P19784	P17096	0.0714285714286
P19784	O14503	P19784	P17931	0.0555555555556
P19784	O14503	P19784	P18031	0.0769230769231
P19784	O14503	P19784	P18846	0.2
P19784	O14503	P19784	P19338	0.166666666667
P19784	O60282	P19784	O60282	1.0
P19784	O60282	P19784	O60341	0.4
P19784	O60282	P19784	O95477	1.0
P19784	O60282	P19784	P01100	0.222222222222
P19784	O60282	P19784	P04156	0.416666666667
P19784	O60282	P19784	P04424	0.36
P19784	O60282	P19784	P05412	0.176470588235
P19784	O60282	P19784	P07237	0.4
P19784	O60282	P19784	P07327	0.45
P19784	O60282	P19784	P09497	0.166666666667
P19784	O60282	P19784	P11387	0.4
P19784	O60282	P19784	P11388	0.416666666667
P19784	O60282	P19784	P14598	0.111111111111
P19784	O60282	P19784	P15336	0.166666666667
P19784	O60282	P19784	P16403	0.833333333333
P19784	O60282	P19784	P16455	0.47619047619
P19784	O60282	P19784	P17096	0.24
P19784	O60282	P19784	P17931	0.346153846154
P19784	O60282	P19784	P18031	0.428571428571
P19784	O60282	P19784	P18846	0.222222222222
P19784	O60282	P19784	P19338	0.277777777778
P19784	O60341	P19784	O60341	1.0
P19784	O60341	P19784	O95477	0.4
P19784	O60341	P19784	P01100	0.454545454545
P19784	O60341	P19784	P04156	0.473684210526
P19784	O60341	P19784	P04424	0.555555555556
P19784	O60341	P19784	P05412	0.272727272727
P19784	O60341	P19784	P07237	0.45
P19784	O60341	P19784	P07327	0.642857142857
P19784	O60341	P19784	P09497	0.363636363636
P19784	O60341	P19784	P11387	0.833333333333
P19784	O60341	P19784	P11388	0.473684210526
P19784	O60341	P19784	P14598	0.272727272727
P19784	O60341	P19784	P15336	0.363636363636
P19784	O60341	P19784	P16403	0.421052631579
P19784	O60341	P19784	P16455	0.785714285714
P19784	O60341	P19784	P17096	0.470588235294
P19784	O60341	P19784	P17931	0.45
P19784	O60341	P19784	P18031	0.714285714286
P19784	O60341	P19784	P18846	0.454545454545
P19784	O60341	P19784	P19338	0.416666666667
P19784	O95477	P19784	O95477	1.0
P19784	O95477	P19784	P01100	0.222222222222
P19784	O95477	P19784	P04156	0.416666666667
P19784	O95477	P19784	P04424	0.36
P19784	O95477	P19784	P05412	0.176470588235
P19784	O95477	P19784	P07237	0.4
P19784	O95477	P19784	P07327	0.45
P19784	O95477	P19784	P09497	0.166666666667
P19784	O95477	P19784	P11387	0.4
P19784	O95477	P19784	P11388	0.416666666667
P19784	O95477	P19784	P14598	0.111111111111
P19784	O95477	P19784	P15336	0.166666666667
P19784	O95477	P19784	P16403	0.833333333333
P19784	O95477	P19784	P16455	0.47619047619
P19784	O95477	P19784	P17096	0.24
P19784	O95477	P19784	P17931	0.346153846154
P19784	O95477	P19784	P18031	0.428571428571
P19784	O95477	P19784	P18846	0.222222222222
P19784	O95477	P19784	P19338	0.277777777778
P19784	P01100	P19784	P01100	1.0
P19784	P01100	P19784	P04156	0.294117647059
P19784	P01100	P19784	P04424	0.222222222222
P19784	P01100	P19784	P05412	0.6
P19784	P01100	P19784	P07237	0.277777777778
P19784	P01100	P19784	P07327	0.416666666667
P19784	P01100	P19784	P09497	0.8
P19784	P01100	P19784	P11387	0.454545454545
P19784	P01100	P19784	P11388	0.294117647059
P19784	P01100	P19784	P14598	0.6
P19784	P01100	P19784	P15336	0.8
P19784	P01100	P19784	P16403	0.235294117647
P19784	P01100	P19784	P16455	0.357142857143
P19784	P01100	P19784	P17096	0.1875
P19784	P01100	P19784	P17931	0.277777777778
P19784	P01100	P19784	P18031	0.384615384615
P19784	P01100	P19784	P18846	1.0
P19784	P01100	P19784	P19338	0.571428571429
P19784	P04156	P19784	P04156	1.0
P19784	P04156	P19784	P04424	0.416666666667
P19784	P04156	P19784	P05412	0.176470588235
P19784	P04156	P19784	P07237	0.944444444444
P19784	P04156	P19784	P07327	0.526315789474
P19784	P04156	P19784	P09497	0.235294117647
P19784	P04156	P19784	P11387	0.473684210526
P19784	P04156	P19784	P11388	1.0
P19784	P04156	P19784	P14598	0.176470588235
P19784	P04156	P19784	P15336	0.235294117647
P19784	P04156	P19784	P16403	0.434782608696
P19784	P04156	P19784	P16455	0.47619047619
P19784	P04156	P19784	P17096	0.291666666667
P19784	P04156	P19784	P17931	0.458333333333
P19784	P04156	P19784	P18031	0.5
P19784	P04156	P19784	P18846	0.294117647059
P19784	P04156	P19784	P19338	0.352941176471
P19784	P04424	P19784	P04424	1.0
P19784	P04424	P19784	P05412	0.111111111111
P19784	P04424	P19784	P07237	0.458333333333
P19784	P04424	P19784	P07327	0.526315789474
P19784	P04424	P19784	P09497	0.166666666667
P19784	P04424	P19784	P11387	0.555555555556
P19784	P04424	P19784	P11388	0.416666666667
P19784	P04424	P19784	P14598	0.111111111111
P19784	P04424	P19784	P15336	0.166666666667
P19784	P04424	P19784	P16403	0.434782608696
P19784	P04424	P19784	P16455	0.631578947368
P19784	P04424	P19784	P17096	0.409090909091
P19784	P04424	P19784	P17931	0.666666666667
P19784	P04424	P19784	P18031	0.5
P19784	P04424	P19784	P18846	0.222222222222
P19784	P04424	P19784	P19338	0.277777777778
P19784	P05412	P19784	P05412	1.0
P19784	P05412	P19784	P07237	0.166666666667
P19784	P05412	P19784	P07327	0.25
P19784	P05412	P19784	P09497	0.75
P19784	P05412	P19784	P11387	0.272727272727
P19784	P05412	P19784	P11388	0.176470588235
P19784	P05412	P19784	P14598	0.5
P19784	P05412	P19784	P15336	0.75
P19784	P05412	P19784	P16403	0.1875
P19784	P05412	P19784	P16455	0.214285714286
P19784	P05412	P19784	P17096	0.133333333333
P19784	P05412	P19784	P17931	0.166666666667
P19784	P05412	P19784	P18031	0.230769230769
P19784	P05412	P19784	P18846	0.6
P19784	P05412	P19784	P19338	0.285714285714
P19784	P07237	P19784	P07237	1.0
P19784	P07237	P19784	P07327	0.5
P19784	P07237	P19784	P09497	0.222222222222
P19784	P07237	P19784	P11387	0.45
P19784	P07237	P19784	P11388	0.944444444444
P19784	P07237	P19784	P14598	0.166666666667
P19784	P07237	P19784	P15336	0.222222222222
P19784	P07237	P19784	P16403	0.478260869565
P19784	P07237	P19784	P16455	0.454545454545
P19784	P07237	P19784	P17096	0.28
P19784	P07237	P19784	P17931	0.5
P19784	P07237	P19784	P18031	0.47619047619
P19784	P07237	P19784	P18846	0.277777777778
P19784	P07237	P19784	P19338	0.333333333333
P19784	P07327	P19784	P07327	1.0
P19784	P07327	P19784	P09497	0.333333333333
P19784	P07327	P19784	P11387	0.642857142857
P19784	P07327	P19784	P11388	0.526315789474
P19784	P07327	P19784	P14598	0.25
P19784	P07327	P19784	P15336	0.333333333333
P19784	P07327	P19784	P16403	0.473684210526
P19784	P07327	P19784	P16455	0.857142857143
P19784	P07327	P19784	P17096	0.3
P19784	P07327	P19784	P17931	0.666666666667
P19784	P07327	P19784	P18031	0.5625
P19784	P07327	P19784	P18846	0.416666666667
P19784	P07327	P19784	P19338	0.5
P19784	P09497	P19784	P09497	1.0
P19784	P09497	P19784	P11387	0.363636363636
P19784	P09497	P19784	P11388	0.235294117647
P19784	P09497	P19784	P14598	0.75
P19784	P09497	P19784	P15336	1.0
P19784	P09497	P19784	P16403	0.176470588235
P19784	P09497	P19784	P16455	0.285714285714
P19784	P09497	P19784	P17096	0.2
P19784	P09497	P19784	P17931	0.222222222222
P19784	P09497	P19784	P18031	0.307692307692
P19784	P09497	P19784	P18846	0.8
P19784	P09497	P19784	P19338	0.428571428571
P19784	P11387	P19784	P11387	1.0
P19784	P11387	P19784	P11388	0.473684210526
P19784	P11387	P19784	P14598	0.272727272727
P19784	P11387	P19784	P15336	0.363636363636
P19784	P11387	P19784	P16403	0.421052631579
P19784	P11387	P19784	P16455	0.785714285714
P19784	P11387	P19784	P17096	0.470588235294
P19784	P11387	P19784	P17931	0.45
P19784	P11387	P19784	P18031	0.846153846154
P19784	P11387	P19784	P18846	0.454545454545
P19784	P11387	P19784	P19338	0.416666666667
P19784	P11388	P19784	P11388	1.0
P19784	P11388	P19784	P14598	0.176470588235
P19784	P11388	P19784	P15336	0.235294117647
P19784	P11388	P19784	P16403	0.434782608696
P19784	P11388	P19784	P16455	0.47619047619
P19784	P11388	P19784	P17096	0.291666666667
P19784	P11388	P19784	P17931	0.458333333333
P19784	P11388	P19784	P18031	0.5
