uniprot	template_length	target_length	template_pdb	target_begin	target_end	sequence_identity	model_score	modpipe_quality_score	zDOPE	eVALUE	modbase_modelID
Q92769	61	488	5m4t	419	480	16	0.0	0.441849	-1.66	0.0	58fc061b78be75dc12ebfc3240175637
Q92769	95	488	2fkj	392	487	13	0.02	0.420521	-1.24	0.0	4492318a80b192b183de09f1bc562943
Q9NR30	125	783	4uos	21	146	30	0.15	0.47922	-1.23	0.0093	a378f2532137e4a6ec6729fd409750d0
Q9NR30	126	783	2fkj	20	146	31	0.19	0.349497	-0.08	0.84	8d11a02a59e017ed3f4f513b371d9738
Q9NR30	145	783	4tql	20	165	19	0.28	0.551362	-1.62	0.99	76253cbdb64a19a42add60339bbc149b
Q9NR30	203	783	2oxc	188	391	36	1.0	0.789836	-1.59	0.0	cf861e56aa7bddce3f4858ed1b199a99
Q9NR30	204	783	2gxq	188	392	49	1.0	1.0	-2.0	0.0	9988c32085d562b3fc75aed47644d00c
Q9NR30	204	783	2gxq	188	392	49	1.0	1.01611	-2.11	0.0	9efafae4665bf3b41f255c430865d014
Q9NR30	205	783	6aib	188	393	39	1.0	0.860391	-1.74	0.0	1c0dd76d38fb95522f91db2df3f863e9
Q9NR30	205	783	6aib	188	393	39	1.0	0.860691	-1.74	0.0	ca53c31597ef51344a9a968ea3a95eae
Q9NR30	207	783	2gxq	186	393	48	1.0	0.99	-2.04	0.0	7517610621533bc8b6bc6def0e321ede
Q9NR30	211	783	1vec	184	395	34	1.0	0.81	-1.64	0.0	8d260400634bb17b6d2566948d7645cc
Q9NR30	212	783	1vec	184	396	33	1.0	0.8	-1.71	0.0	8c53671e397843eeb726c8203841efd6
Q9NR30	213	783	2gxq	186	399	47	1.0	0.999708	-1.97	0.0	3c28b54c4943bccd40ecc44f1876fbad
Q9NR30	213	783	2gxq	186	399	47	1.0	1.0	-2.01	0.0	6726bfdec272f929ef6d3e25b6036bc3
Q9NR30	229	783	3i32	409	638	38	1.0	0.740042	-0.16	0.0	583882998d4609668865253a00183f12
Q9NR30	353	783	3pey	224	577	34	1.0	0.783407	-0.41	0.0	d0f515d74c292575ecebb53d866c80cb
Q9NR30	371	783	3i5x	209	580	33	1.0	0.906396	-0.71	0.0	567ea9f6443300bb218191ad8cd4948f
Q9NR30	375	783	4kbf	188	563	45	1.0	1.0945	-1.14	0.0	7f48fd4b3c567daaa25c5b9ed71990b6
Q9NR30	389	783	2db3	157	546	34	1.0	0.933384	-0.75	0.0	60e31fc313f9e231cefc4f8c1e1cf1ae
Q9NR30	454	783	3i5x	187	641	26	1.0	0.849798	-0.08	0.0	4bd0ef110b22b55eb4ff2c4986815e13
Q9NR30	492	783	2xau	111	603	15	0.98	0.68993	0.27	0.0	cc2c85f9e5593ba8b96c79b9587fbb2f
Q9NR30	567	783	1gl9	183	750	14	0.25	0.574715	1.2	0.0	158a0e154ca84817366e1ee9741492c0
Q9NR30	580	783	2eyq	34	614	16	1.0	0.652018	0.9	0.0	fcbe9bf356faa504f514f49fd4316a7e
Q9NR30	580	783	2eyq	34	614	16	1.0	0.676018	0.73	0.0	f8328c86dc9f8a7c3017dd53e394e2cb
Q9NR30	580	783	2eyq	34	614	16	1.0	0.676918	0.73	0.0	1b5704c74020621c7ce9004bc88083e1
Q9NR30	580	783	2eyq	34	614	16	1.0	0.695318	0.71	0.0	217f57f3f06695f252fdee7fa81cc3a4
Q9NR30	595	783	2p6r	187	782	16	1.0	0.46	0.6	0.0	20d30898441823d4ced73b0f4f2003ba
Q9NR30	647	783	2xau	116	763	12	1.0	0.486686	0.7	0.0	8acb49211391b819fa02f37e062f8b61
Q9NR30	691	783	1tr2	5	696	12	0.99	0.78758	1.26	0.0	50809977b512077b933c3a2a8d0fef6a
Q9NR30	691	783	2eyq	12	703	16	1.0	0.81	0.99	0.0	23f74db4f8ee88b024bcbfeffbaec78b
Q9NR30	745	783	2eyq	2	747	14	1.0	0.7	1.21	0.0	a1e8603c01faa8f7d5501172672a7cae
Q9NR30	88	783	2e29	619	707	49	1.0	0.775365	-0.89	0.0	961e1fee07f6ec3aa94094602a84b76f
Q9NR30	88	783	2e29	619	707	49	1.0	0.785965	-0.99	0.0	d09c951b7ccab551dec9530e5a1a929a
Q9NR30	88	783	2e29	619	707	49	1.0	0.802965	-1.19	0.0	36e3decf61aad25debe26510f3ab7352
Q9NR30	93	783	2m3d	617	710	100	1.0	1.30975	-0.97	0.0	ac4a82626fa0571d3adc86e61e15aed2
Q9NR30	93	783	2m3d	617	710	100	1.0	1.31195	-1.01	0.0	73ec4e77681467cdd161e70d69dacbee
Q9NR30	93	783	2m3d	617	710	100	1.0	1.31275	-1.01	0.0	f0be4abad3ccbb6b93f5f169835f4873
